Zaquar,Winfrey Waterport,sailZQW,sailBSH,1,sail1west,sail1Awest
Zaquar,Winfrey Waterport,sailZQW,sailDBS,1,sail2north,
Zaquar,Winfrey Waterport,sailZQW,sailMMN,1,sail2Xnorth,
Zaquar,Winfrey Waterport,sailZQW,sailFYS,1,sail4south,
Zaquar,Winfrey Waterport,sailZQW,sailBCH,1,sail4Aeast,
Zaquar,Winfrey Waterport,sailZQW,airZAQ,30,walk,
Zaquar,Winfrey Waterport,sailZQW,railZQW,30,walk,
Zaquar,Winfrey Waterport,sailZQW,bahnZQA,30,walk,
Zaquar,Winfrey Waterport,sailZQW,busZAQ,30,walk,
,,,,,,
MRT Marina,,sailMMN,sailLCL,1,sail2south,
MRT Marina,,sailMMN,sailZQW,1,sail2Xsouth,
MRT Marina,,sailMMN,sailEDN,1,sail2Awest,
MRT Marina,,sailMMN,sailXVT,1,sail3west,
MRT Marina,,sailMMN,railMMN,30,marinaShuttleSouth,
,,,,,,
Akureyri,,sailAKU,sailAUT,1,sail3west,
Akureyri,,sailAKU,sailVIL,1,sail3east,
,,,,,,
Archell,Pier,sailARC,sailDSP,1,sail4north,
Archell,Pier,sailARC,sailQUL,1,sail4south,
,,,,,,
Auburn,,sailAUB,sailGIL,1,sail1west,
Auburn,,sailAUB,sailPAR,1,sail1east,
,,,,,,
Autunno Highlands,Ankomsthavn Ferry Terminal,sailAUT,sailAKU,1,sail3east,
,,,,,,
Bakersville,South Ferry Terminal,sailBSF,sailEDN,1,sail2Aeast,
Bakersville,South Ferry Terminal,sailBSF,railGCT,30,walk,
,,,,,,
Beach City,,sailBCH,sailZQW,1,sail4Awest,
,,,,,,
Boston,Harbor,sailBSH,sailPRA,1,sail1west,
Boston,Harbor,sailBSH,sailZQW,1,sail1east,sail1Anorth
Boston,Harbor,sailBSH,sailSEO,1,sail1Asouth,
Boston,Harbor,sailBSH,busBSH,30,walk,
,,,,,,
Cape Cambridge,International Seaport,sailCAM,sailSON,1,sail4north,
Cape Cambridge,International Seaport,sailCAM,sailOCS,1,sail4Cwest,
,,,,,,
Chan Bay,Keppel Terminal,sailCBK,sailJIM,1,sail3Aeast,
Chan Bay,Keppel Terminal,sailCBK,airCHB,30,walk,
,,,,,,
Dand,Seaport,sailDSP,sailVTM,1,sail4north,
Dand,Seaport,sailDSP,sailARC,1,sail4south,
Dand,Seaport,sailDSP,airDSP,0.1,walk,
,,,,,,
Deadbush,Port of Deadbush,sailDBS,sailHMP,1,sail2north,
Deadbush,Port of Deadbush,sailDBS,sailZQW,1,sail2south,
,,,,,,
Dekuville,,sailDEK,sailISL,1,sail3west,
Dekuville,,sailDEK,sailVIN,1,sail3east,
,,,,,,
Eden,Harbor,sailEDN,sailBSF,1,sail2Awest,
Eden,Harbor,sailEDN,sailMMN,1,sail2Aeast,
,,,,,,
Fortaleza,Marina,sailFTL,sailVVW,1,sail2Bsouth,
Fortaleza,Marina,sailFTL,railFTL,30,walk,
,,,,,,
Fort Yaxier,,sailFYS,sailZQW,1,sail4north,
Fort Yaxier,,sailFYS,sailNSC,1,sail4south,
Fort Yaxier,,sailFYS,airFYI,30,walk,
,,,,,,
Gillmont,Marina,sailGIL,sailVNU,1,sail1west,
Gillmont,Marina,sailGIL,sailAUB,1,sail1east,
,,,,,,
Gray Cloud,Main Marina,sailGRY,sailRZW,1,sail1west,
