omega801north,801,omegaWEL,Welcomeville,Transit Hub,
omega801south,801,omegaSCT,Spawn City,Transit Centre,
omega802north,802,omegaJON,Jones Beach,null,
omega802south,802,omegaBGV,Bridgeview,Transit Hub,
omega803north,803,omegaMAN,New Kiwi City-True City-Silver Spring,Mandela Station,
omega803south,803,omegaQZC,Quartz City,null,
omega803Cnorth,803C,omegaSKY,Skyscraper City,null,
omega803Csouth,803C,omegaRCK,Rockstone,null,
omega804north,804,omegaMNH,Minehattan,Bus Station,
omega804south,804,omegaNSC,New Spawn City,null,
omega805north,805,omegaFNC,Fairfax,Northern Cross,
omega805south,805,omegaCRY,Crystal City,Transit Hub,
omega806Awest,806A,omegaNWP,Northeast Waterport,null,
omega806Aeast,806A,omegaFNC,Fairfax,Northern Cross,
omega806Bwest,806B,omegaNWP,Northeast Waterport,null,
omega806Beast,806B,omegaMRN,Morningside,null,
omega806Cwest,806C,omegaNWP,Northeast Waterport,null,
omega806Ceast,806C,omegaMNE,Minetown,Gare de Minetown,
omega807west,807,omegaSLY,Stanley,Bus Station,
omega807east,807,omegaARS,Arisa,null,
omega808west,808,omegaWEL,Welcomeville,Transit Hub,
omega808east,808,omegaFNC,Fairfax,Northern Cross,
omega809north,809,omegaCRY,Crystal City,Transit Hub,
omega809south,809,omegaZCR,Zicronia,Bus Station,
omega809Bnorth,809B,omegaCTP,Cactusville,Transfer Point,omegaCAC
omega809Bsouth,809B,omegaCAC,Cactusville,Transit Hub,omegaCTP
omega810north,810,omegaMCY,MineCity,Bus Station,
omega810south,810,omegaRDL,Redlin,Bus Station,
omega811north,811,omegaSYC,Shady Caves,null,
omega811south,811,omegaPLM,Palmville,null,
omega813north,813,omegaSCT,Spawn City,Transit Centre,
omega813south,813,omegaEIS,Eisitasi,null,
omega814west,814,omegaMST,Miningstone,Transit Hub,
omega814east,814,omegaMAN,New Kiwi City-True City-Silver Spring,Mandela Station,
omega816west,816,omegaEDM,Edenmorr,Bus Station,
omega816east,816,omegaFST,Forestville,null,
omega817west,817,omegaKIT,Kitania,Bus Complex,
omega817east,817,omegaZCR,Zicronia,Bus Station,
omega818west,818,omegaJON,Jones Beach,null,
omega818east,818,omegaCHK,Chokster City,Bus Terminus,
